,TARIH,FONKODU,FONUNVAN,FIYAT,TEDPAYSAYISI,KISISAYISI,PORTFOYBUYUKLUK,BORSABULTENFIYAT
672,1688688000000,IUT,INVEO PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,2.038387,1616364.0,436.0,3294775.26,-
673,1688688000000,IUU,İŞ PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,26.709565,21280999.0,115.0,568406233.64,-
674,1688688000000,IUV,İŞ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ)  FON,27.0258,14691708.0,263.0,397055159.13,-
675,1688688000000,IUZ,İŞ PORTFÖY ANADOLUBANK PARA PİYASASI (TL) FONU,1.305845,50017366.0,13.0,65314924.25,-
676,1688688000000,IVA,İSTANBUL PORTFÖY BAYRAKTAR SERBEST ÖZEL FON,0.0,0.0,0.0,0.0,-
677,1688688000000,IVF,İSTANBUL PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),2.117531,22389378.0,283.0,47410212.02,-
678,1688688000000,IVS,İSTANBUL PORTFÖY İKİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON,2.09155,133589257.0,85.0,279408656.81,-
679,1688688000000,IVY,İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,1.418616,43037793.0,4445.0,61054105.31,-
680,1688688000000,IV2,INVEO PORTFÖY ARİSTA KAR PAYI ÖDEYEN SERBEST ÖZEL FON,1.609699,8981399.0,3.0,14457345.12,-
681,1688688000000,IV5,INVEO PORTFÖY ŞAHİNKAYA 1 HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),0.608688,367350922.0,2.0,223601922.1,-
682,1688688000000,IV6,INVEO PORTFÖY TE3 SERBEST (DÖVİZ) ÖZEL FON,26.640314,25018131.0,1.0,666490864.75,-
683,1688688000000,IV7,INVEO PORTFÖY BEŞER SERBEST (TL) ÖZEL FON,1.406132,109304696.0,1.0,153696880.72,-
684,1688688000000,IYB,AURA PORTFÖY DEĞİŞKEN FONU,1.613131,32324631.0,119.0,52143877.93,-
685,1688688000000,IYP,İSTANBUL PORTFÖY YILDIZ SERBEST ÖZEL FON,2.234416,1652183330.0,4.0,3691664761.06,-
686,1688688000000,IYR,İŞ PORTFÖY HEDEF SERBEST FON,0.071648,2205727666.0,34.0,158036203.85,-
687,1688688000000,IYS,İŞ PORTFÖY SÜTAŞ SERBEST ÖZEL FON,0.440478,4724493302.0,18.0,2081033377.79,-
688,1688688000000,IZB,İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ SERBEST FON,2.938153,24104867.0,36.0,70823788.72,-
689,1688688000000,IZE,İŞ PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) ÖZEL FON,27.064229,5281908.0,1.0,142950768.94,-
690,1688688000000,IZF,QİNVEST PORTFÖY İKİNCİ KATILIM SERBEST FON,1.688103,1277988.0,7.0,2157375.29,-
691,1688688000000,IZL,İŞ PORTFÖY ODEABANK SERBEST (DÖVİZ) ÖZEL FON,27.728732,10268083.0,109.0,284720925.92,-
692,1688688000000,IZM,AZİMUT PORTFÖY İZMİR SERBEST (TL) ÖZEL FON,0.798115,185531830.0,1.0,148075780.22,-
693,1688688000000,IZS,İSTANBUL PORTFÖY ALTINCI SERBEST FON,4.049347,9102814.0,28.0,36860454.38,-
694,1688688000000,IZV,İSTANBUL PORTFÖY ATLANTİK SERBEST (TL) ÖZEL FON,2.797747,10957495.0,2.0,30656298.28,-
695,1688688000000,IZZ,İŞ PORTFÖY CORTİNA SERBEST ÖZEL FON,6.049764,158358129.0,1.0,958029328.42,-
696,1688688000000,KAC,ALBARAKA PORTFÖY EMLAK KATILIM KISA VADELİ KATILIM SERBEST (TL) FON,1.167898,1917817900.0,21.0,2239815478.53,-
697,1688688000000,KAV,KT PORTFÖY ALTINCI KATILIM SERBEST (DÖVİZ-AVRO) FON,28.409951,357538839.0,3295.0,10157660842.15,-
698,1688688000000,KCN,QİNVEST PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),0.0,0.0,0.0,0.0,-
